163	まるゆ	1
163	まるゆ	20
143	武蔵	42
25	鳳翔	2
2	陸奥	48
128	伊8	78
114	大井改二	62
1	長門	67
328	雪風改	27
371	摩耶改	34
42	長良	1
384	隼鷹改	40
154	香取	8
210	清霜	1
8	蒼龍	45
112	瑞鳳	2
236	呂500	91
127	伊58	51
109	鬼怒	1
53	加古	4
120	衣笠	1
52	古鷹	1
145	時雨改二	67
137	阿賀野	21
135	長波	1
170	浜風	26
370	愛宕改	28
45	由良	1
28	天龍	1
62	鳥海	6
381	龍驤改	40
123	伊19	64
123	伊19	60
37	三日月	21
110	阿武隈	8
101	最上改	28
182	明石	10
34	文月	28
378	加賀改	77
63	利根	21
75	初春	1
4	日向	1
126	伊168	66
309	金剛改	64
50	千代田	12
119	舞風	22
73	雷	1
104	千歳航	19
71	暁	1
127	伊58	61
70	潮	13
124	鈴谷	19
3	伊勢	6
501	伊19改	63
311	榛名改	69
498	伊168改	60
94	祥鳳	9
49	千歳	9
301	吹雪改	38
499	伊58改	65
115	北上改二	73
310	比叡改	59
383	飛鷹改	44
387	山城改	44
195	綾波改二	70
386	扶桑改	36
368	羽黒改	39
377	赤城改	70
324	那珂改	24
312	霧島改	76
158	川内改二	61
54	青葉	4
367	足柄改	39
144	夕立改二	57
55	妙高	7
43	五十鈴	3
31	睦月	28
369	高雄改	35
159	神通改二	61
317	木曾改	63
29	龍田	23
315	球磨改	23
92	不知火	33
78	初霜	25
56	那智	12
35	長月	28
14	深雪	3
33	皐月	23
87	満潮	9
38	望月	35
36	菊月	28
32	如月	28
147	Верный	70
12	白雪	10
337	電改	35
